C:\Users\priya\Documents\Data\IMG\center_2019_01_13_15_22_37_699.jpg, C:\Users\priya\Documents\Data\IMG\left_2019_01_13_15_22_37_699.jpg, C:\Users\priya\Documents\Data\IMG\right_2019_01_13_15_22_37_699.jpg, 0, 0, 0, 7.815025E-05
C:\Users\priya\Documents\Data\IMG\center_2019_01_13_15_22_37_801.jpg, C:\Users\priya\Documents\Data\IMG\left_2019_01_13_15_22_37_801.jpg, C:\Users\priya\Documents\Data\IMG\right_2019_01_13_15_22_37_801.jpg, 0, 0, 0, 7.84615E-05
C:\Users\priya\Documents\Data\IMG\center_2019_01_13_15_22_37_904.jpg, C:\Users\priya\Documents\Data\IMG\left_2019_01_13_15_22_37_904.jpg, C:\Users\priya\Documents\Data\IMG\right_2019_01_13_15_22_37_904.jpg, 0, 0, 0, 7.847017E-05
C:\Users\priya\Documents\Data\IMG\center_2019_01_13_15_22_38_006.jpg, C:\Users\priya\Documents\Data\IMG\left_2019_01_13_15_22_38_006.jpg, C:\Users\priya\Documents\Data\IMG\right_2019_01_13_15_22_38_006.jpg, 0, 0, 0, 7.797867E-05
C:\Users\priya\Documents\Data\IMG\center_2019_01_13_15_22_38_112.jpg, C:\Users\priya\Documents\Data\IMG\left_2019_01_13_15_22_38_112.jpg, C:\Users\priya\Documents\Data\IMG\right_2019_01_13_15_22_38_112.jpg, 0, 0, 0, 7.881751E-05
C:\Users\priya\Documents\Data\IMG\center_2019_01_13_15_22_38_214.jpg, C:\Users\priya\Documents\Data\IMG\left_2019_01_13_15_22_38_214.jpg, C:\Users\priya\Documents\Data\IMG\right_2019_01_13_15_22_38_214.jpg, 0, 0, 0, 7.792591E-05
C:\Users\priya\Documents\Data\IMG\center_2019_01_13_15_22_38_315.jpg, C:\Users\priya\Documents\Data\IMG\left_2019_01_13_15_22_38_315.jpg, C:\Users\priya\Documents\Data\IMG\right_2019_01_13_15_22_38_315.jpg, 0, 0, 0, 7.853354E-05
C:\Users\priya\Documents\Data\IMG\center_2019_01_13_15_22_38_417.jpg, C:\Users\priya\Documents\Data\IMG\left_2019_01_13_15_22_38_417.jpg, C:\Users\priya\Documents\Data\IMG\right_2019_01_13_15_22_38_417.jpg, 0, 0, 0, 7.795588E-05
C:\Users\priya\Documents\Data\IMG\center_2019_01_13_15_22_38_519.jpg, C:\Users\priya\Documents\Data\IMG\left_2019_01_13_15_22_38_519.jpg, C:\Users\priya\Documents\Data\IMG\right_2019_01_13_15_22_38_519.jpg, 0, 0, 0, 7.854587E-05
C:\Users\priya\Documents\Data\IMG\center_2019_01_13_15_22_38_621.jpg, C:\Users\priya\Documents\Data\IMG\left_2019_01_13_15_22_38_621.jpg, C:\Users\priya\Documents\Data\IMG\right_2019_01_13_15_22_38_621.jpg, 0, 0, 0, 7.791285E-05
